"","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"2344","female",1965,51,"middle",3,"divorce","no",941,"청소원 및 환경 미화원",105,3,"부산/경남/울산"
"2345","male",1988,28,"young",5,NA,"no",922,"배달원",193,3,"부산/경남/울산"
"2346","male",1991,25,"young",5,NA,"no",922,"배달원",164.2,3,"부산/경남/울산"
"2347","male",1947,69,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2348","female",1954,62,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2349","female",1975,41,"middle",3,"divorce","yes",442,"음식서비스 종사자",NA,3,"부산/경남/울산"
"2350","male",1999,17,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2351","male",2001,15,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2352","male",1940,76,"old",1,"marriage","yes",530,"방문 노점 및 통신 판매 관련 종사자",NA,3,"부산/경남/울산"
"2353","female",1944,72,"old",1,"marriage","yes",530,"방문 노점 및 통신 판매 관련 종사자",NA,3,"부산/경남/울산"
"2354","female",1942,74,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2355","male",1967,49,"middle",4,NA,"yes",312,"경영관련 사무원",260,3,"부산/경남/울산"
"2356","male",1941,75,"old",1,"marriage","no",921,"하역 및 적재 단순 종사원",NA,3,"부산/경남/울산"
"2357","female",1946,70,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2358","male",1952,64,"old",1,"marriage","no",942,"경비원 및 검표원",120,3,"부산/경남/울산"
"2359","female",1954,62,"old",1,"marriage","no",421,"의료 복지 관련 서비스 종사자",57.2,3,"부산/경남/울산"
"2360","female",1992,24,"young",5,NA,"no",442,"음식서비스 종사자",30,3,"부산/경남/울산"
"2361","male",1948,68,"old",1,"marriage","yes",942,"경비원 및 검표원",130,3,"부산/경남/울산"
"2362","female",1950,66,"old",1,"marriage","yes",941,"청소원 및 환경 미화원",30,3,"부산/경남/울산"
"2363","male",1979,37,"middle",5,NA,"yes",999,"기타 서비스관련 단순 종사원",NA,3,"부산/경남/울산"
"2364","male",1936,80,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2365","female",1941,75,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2366","male",1974,42,"middle",5,NA,"yes",922,"배달원",187.5,3,"부산/경남/울산"
"2367","male",1971,45,"middle",5,NA,"no",873,"자동차 운전원",NA,3,"부산/경남/울산"
"2368","female",1944,72,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2369","female",1971,45,"middle",5,NA,"no",259,"기타 교육 전문가",130,3,"부산/경남/울산"
"2370","male",1962,54,"middle",1,"marriage","no",891,"목재 및 종이 관련 기계조작원",252.5,3,"부산/경남/울산"
"2371","male",1922,94,"old",2,NA,"no",149,"기타 건설 전기 및 생산 관련 관리자",NA,3,"부산/경남/울산"
"2372","male",1966,50,"middle",5,NA,"yes",891,"목재 및 종이 관련 기계조작원",172.5,3,"부산/경남/울산"
"2373","female",1984,32,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2374","female",2008,8,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2375","male",2010,6,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2376","male",1942,74,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2377","female",1946,70,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2378","male",1969,47,"middle",5,NA,"no",743,"용접원",247,3,"부산/경남/울산"
"2379","female",1928,88,"old",2,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2380","male",1937,79,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2381","female",1948,68,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2382","female",1933,83,"old",2,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2383","male",1929,87,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2384","female",1936,80,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2385","male",1940,76,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2386","female",1938,78,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2387","male",1951,65,"old",3,"divorce","no",873,"자동차 운전원",92,3,"부산/경남/울산"
"2388","male",1979,37,"middle",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2389","male",1940,76,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2390","female",1945,71,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2391","male",1956,60,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2392","female",1964,52,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",174,3,"부산/경남/울산"
"2393","female",1991,25,"young",5,NA,"yes",246,"보건의료관련 종사자",143.3,3,"부산/경남/울산"
"2394","female",1994,22,"young",5,NA,"yes",952,"음식관련 단순 종사원",NA,3,"부산/경남/울산"
"2395","male",1947,69,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2396","female",1957,59,"middle",3,"divorce","no",NA,NA,NA,3,"부산/경남/울산"
"2397","male",1934,82,"old",2,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2398","male",1955,61,"old",1,"marriage","no",942,"경비원 및 검표원",140.8,3,"부산/경남/울산"
"2399","female",1958,58,"middle",2,NA,"yes",442,"음식서비스 종사자",NA,3,"부산/경남/울산"
"2400","female",1931,85,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2401","female",1950,66,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2402","female",1935,81,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2403","female",1957,59,"middle",4,NA,"yes",442,"음식서비스 종사자",NA,3,"부산/경남/울산"
"2404","male",1979,37,"middle",5,NA,"yes",922,"배달원",107,3,"부산/경남/울산"
"2405","female",1949,67,"old",2,NA,"yes",442,"음식서비스 종사자",NA,3,"부산/경남/울산"
"2406","male",1939,77,"old",1,"marriage","no",942,"경비원 및 검표원",83,3,"부산/경남/울산"
"2407","female",1952,64,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2408","female",1947,69,"old",2,NA,"yes",951,"가사 및 육아 도우미",75,3,"부산/경남/울산"
"2409","male",1984,32,"middle",1,"marriage","yes",922,"배달원",160,3,"부산/경남/울산"
"2410","female",1935,81,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2411","female",1930,86,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2412","male",1940,76,"old",1,"marriage","no",NA,NA,NA,4,"대구/경북"
"2413","female",1943,73,"old",1,"marriage","no",NA,NA,NA,4,"대구/경북"
"2414","male",1940,76,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2415","female",1943,73,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2416","male",1943,73,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2417","female",1948,68,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2418","male",1937,79,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2419","female",1938,78,"old",2,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2420","female",1939,77,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2421","female",1937,79,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2422","male",1935,81,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2423","male",1953,63,"old",1,"marriage","no",611,"작물재배 종사자",NA,6,"강원/충북"
"2424","female",1953,63,"old",1,"marriage","yes",941,"청소원 및 환경 미화원",80,6,"강원/충북"
"2425","female",1976,40,"middle",3,"divorce","no",NA,NA,NA,6,"강원/충북"
"2426","male",1977,39,"middle",5,NA,"no",910,"건설 및 광업 단순 종사원",134.4,3,"부산/경남/울산"
"2427","female",1983,33,"middle",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2428","female",1967,49,"middle",4,NA,"yes",952,"음식관련 단순 종사원",127.7,3,"부산/경남/울산"
"2429","female",2001,15,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2430","female",1944,72,"old",2,NA,"yes",941,"청소원 및 환경 미화원",20,3,"부산/경남/울산"
"2431","male",1969,47,"middle",1,"marriage","no",873,"자동차 운전원",480,3,"부산/경남/울산"
"2432","female",1975,41,"middle",1,"marriage","no",313,"회계 및 경리 사무원",148.6,3,"부산/경남/울산"
"2433","male",2004,12,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2434","female",2006,10,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2435","male",1961,55,"middle",1,"marriage","no",851,"금속공작기계 조작원",NA,3,"부산/경남/울산"
"2436","female",1962,54,"middle",1,"marriage","no",930,"제조관련 단순 종사원",107,3,"부산/경남/울산"
"2437","male",1988,28,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2438","male",1945,71,"old",1,"marriage","yes",399,"고객 상담 및 기타 사무원",NA,3,"부산/경남/울산"
"2439","female",1953,63,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2440","male",1946,70,"old",1,"marriage","yes",822,"직물 및 신발 관련 기계조작원 및 조립원",NA,3,"부산/경남/울산"
"2441","female",1949,67,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2442","female",1978,38,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2443","male",1979,37,"middle",1,"marriage","no",235,"전기 전자 및 기계 공학 기술자 및 시험원",423.6,3,"부산/경남/울산"
"2444","female",2012,4,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2445","male",1966,50,"middle",1,"marriage","no",311,"행정 사무원",427.5,3,"부산/경남/울산"
"2446","female",1967,49,"middle",1,"marriage","no",259,"기타 교육 전문가",NA,3,"부산/경남/울산"
"2447","male",2000,16,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2448","female",2002,14,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2449","male",1952,64,"old",1,"marriage","yes",863,"전기 전자 부품 및 제품 제조장치 조작원",128,3,"부산/경남/울산"
"2450","female",1952,64,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2451","female",1980,36,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2452","female",1984,32,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2453","male",1990,26,"young",5,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2454","male",1975,41,"middle",1,"marriage","no",753,"기계장비 설치 및 정비원",441.7,3,"부산/경남/울산"
"2455","female",2011,5,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2456","male",1981,35,"middle",1,"marriage","no",312,"경영관련 사무원",375,3,"부산/경남/울산"
"2457","male",1935,81,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2458","female",1941,75,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2459","male",1941,75,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2460","female",1943,73,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2461","male",1972,44,"middle",1,"marriage","yes",823,"세탁관련 기계조작원",NA,3,"부산/경남/울산"
"2462","female",1979,37,"middle",1,"marriage","yes",823,"세탁관련 기계조작원",NA,3,"부산/경남/울산"
"2463","female",2004,12,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2464","male",2005,11,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2465","male",1965,51,"middle",1,"marriage","no",149,"기타 건설 전기 및 생산 관련 관리자",NA,3,"부산/경남/울산"
"2466","female",1969,47,"middle",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2467","female",1996,20,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2468","male",1997,19,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2469","male",1955,61,"old",1,"marriage","yes",942,"경비원 및 검표원",147,3,"부산/경남/울산"
"2470","female",1955,61,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2471","female",1979,37,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2472","male",1972,44,"middle",1,"marriage","no",411,"경찰 소방 및 교도 관련 종사자",447,3,"부산/경남/울산"
"2473","male",2008,8,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2474","male",1959,57,"middle",1,"marriage","no",761,"전기 및 전자기기 설치 및 수리원",250,3,"부산/경남/울산"
"2475","female",1963,53,"middle",1,"marriage","no",521,"매장 판매 종사자",103,3,"부산/경남/울산"
"2476","male",1987,29,"young",5,NA,"no",314,"비서 및 사무 보조원",130,3,"부산/경남/울산"
"2477","male",1988,28,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2478","male",1963,53,"middle",3,"divorce","no",772,"건설관련 기능 종사자",NA,3,"부산/경남/울산"
"2479","female",1967,49,"middle",3,"divorce","no",521,"매장 판매 종사자",150,3,"부산/경남/울산"
"2480","female",1993,23,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2481","male",1996,20,"young",5,NA,"no",930,"제조관련 단순 종사원",NA,3,"부산/경남/울산"
"2482","male",1950,66,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2483","female",1952,64,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2484","female",1938,78,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2485","male",1930,86,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2486","female",1937,79,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2487","male",1930,86,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2488","female",1939,77,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2489","female",1964,52,"middle",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2490","male",1987,29,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2491","female",1940,76,"old",2,NA,"yes",951,"가사 및 육아 도우미",20,3,"부산/경남/울산"
"2492","male",1952,64,"old",1,"marriage","yes",753,"기계장비 설치 및 정비원",200,3,"부산/경남/울산"
"2493","female",1953,63,"old",1,"marriage","yes",510,"영업 종사자",141.7,3,"부산/경남/울산"
"2494","female",1983,33,"middle",5,NA,"yes",311,"행정 사무원",266.7,1,"서울"
"2495","male",1968,48,"middle",5,NA,"no",741,"금형 주조 및 단조원",192.5,3,"부산/경남/울산"
"2496","female",1947,69,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2497","male",1968,48,"middle",3,"divorce","no",751,"자동차 정비원",NA,3,"부산/경남/울산"
"2498","female",1954,62,"old",3,"divorce","yes",442,"음식서비스 종사자",NA,3,"부산/경남/울산"
"2499","female",1988,28,"young",5,NA,"yes",243,"간호사",218.3,3,"부산/경남/울산"
"2500","male",1955,61,"old",1,"marriage","no",510,"영업 종사자",NA,3,"부산/경남/울산"
"2501","female",1958,58,"middle",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2502","male",1982,34,"middle",1,"marriage","no",831,"석유 및 화학물 가공장치 조작원",586,7,"광주/전남/전북/제주도"
"2503","female",1982,34,"middle",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"2504","female",2009,7,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"2505","female",2011,5,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"2506","male",1967,49,"middle",1,"marriage","yes",312,"경영관련 사무원",713,3,"부산/경남/울산"
"2507","female",1968,48,"middle",1,"marriage","no",259,"기타 교육 전문가",250,3,"부산/경남/울산"
"2508","male",1994,22,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2509","male",1996,20,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2510","male",1996,20,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2511","female",1951,65,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2512","female",1924,92,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2513","male",1938,78,"old",3,"divorce","no",NA,NA,NA,3,"부산/경남/울산"
"2514","male",1942,74,"old",2,NA,"yes",422,"이 미용 및 관련 서비스 종사자",NA,3,"부산/경남/울산"
"2515","male",1940,76,"old",1,"marriage","yes",611,"작물재배 종사자",NA,3,"부산/경남/울산"
"2516","female",1949,67,"old",1,"marriage","yes",611,"작물재배 종사자",NA,3,"부산/경남/울산"
"2517","female",1937,79,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2518","female",1966,50,"middle",2,NA,"no",441,"주방장 및 조리사",NA,3,"부산/경남/울산"
"2519","male",1990,26,"young",5,NA,"no",930,"제조관련 단순 종사원",143,3,"부산/경남/울산"
"2520","male",1990,26,"young",5,NA,"no",999,"기타 서비스관련 단순 종사원",123,3,"부산/경남/울산"
"2521","male",1999,17,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2522","female",1943,73,"old",4,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2523","male",1948,68,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2524","male",1944,72,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2525","female",1949,67,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2526","female",1943,73,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2527","male",1974,42,"middle",1,"marriage","yes",120,"행정 및 경영지원 관리자",416.6,3,"부산/경남/울산"
"2528","female",1977,39,"middle",1,"marriage","yes",510,"영업 종사자",208.3,3,"부산/경남/울산"
"2529","female",2004,12,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2530","female",2007,9,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2531","male",2009,7,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2532","male",1948,68,"old",3,"divorce","no",NA,NA,NA,3,"부산/경남/울산"
"2533","male",1947,69,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2534","female",1951,65,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2535","female",1948,68,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2536","female",1932,84,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2537","female",1964,52,"middle",3,"divorce","no",442,"음식서비스 종사자",108,3,"부산/경남/울산"
"2538","female",1989,27,"young",5,NA,"no",399,"고객 상담 및 기타 사무원",216.9,3,"부산/경남/울산"
"2539","female",1934,82,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2540","female",1931,85,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2541","male",1972,44,"middle",5,NA,"no",921,"하역 및 적재 단순 종사원",165,3,"부산/경남/울산"
"2542","female",1963,53,"middle",3,"divorce","yes",NA,NA,NA,3,"부산/경남/울산"
"2543","male",1938,78,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2544","female",1939,77,"old",6,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2545","female",1956,60,"old",3,"divorce","yes",NA,NA,NA,3,"부산/경남/울산"
"2546","male",1992,24,"young",5,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2547","male",1941,75,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2548","female",1950,66,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2549","female",1974,42,"middle",3,"divorce","yes",952,"음식관련 단순 종사원",NA,3,"부산/경남/울산"
"2550","female",2001,15,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2551","male",1998,18,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2552","male",1956,60,"old",3,"divorce","no",NA,NA,NA,3,"부산/경남/울산"
"2553","female",1996,20,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2554","female",1959,57,"middle",2,NA,"yes",941,"청소원 및 환경 미화원",60,3,"부산/경남/울산"
"2555","male",1988,28,"young",5,NA,"no",399,"고객 상담 및 기타 사무원",150,3,"부산/경남/울산"
"2556","female",1985,31,"middle",3,"divorce","no",521,"매장 판매 종사자",130,3,"부산/경남/울산"
"2557","female",1970,46,"middle",3,"divorce","yes",NA,NA,NA,3,"부산/경남/울산"
"2558","female",1993,23,"young",5,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2559","female",1998,18,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2560","male",1954,62,"old",3,"divorce","no",NA,NA,NA,3,"부산/경남/울산"
"2561","male",1934,82,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2562","female",1940,76,"old",1,"marriage","yes",521,"매장 판매 종사자",110,3,"부산/경남/울산"
"2563","male",1963,53,"middle",1,"marriage","yes",412,"경호 및 보안 관련 종사자",230,3,"부산/경남/울산"
"2564","female",1968,48,"middle",1,"marriage","yes",246,"보건의료관련 종사자",150,3,"부산/경남/울산"
"2565","female",1992,24,"young",5,NA,"yes",521,"매장 판매 종사자",105,3,"부산/경남/울산"
"2566","male",1947,69,"old",1,"marriage","no",942,"경비원 및 검표원",130,3,"부산/경남/울산"
"2567","female",1947,69,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2568","female",1975,41,"middle",5,NA,"no",392,"여행 안내 및 접수 사무원",190,3,"부산/경남/울산"
"2569","female",1979,37,"middle",5,NA,"yes",247,"사회복지관련 종사자",130,3,"부산/경남/울산"
"2570","male",1995,21,"young",5,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2571","male",1948,68,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2572","female",1948,68,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2573","male",2002,14,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2574","male",1972,44,"middle",3,"divorce","yes",314,"비서 및 사무 보조원",215,3,"부산/경남/울산"
"2575","male",1953,63,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2576","female",1948,68,"old",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2577","male",1982,34,"middle",5,NA,"no",762,"전기공",416.7,3,"부산/경남/울산"
"2578","male",1971,45,"middle",1,"marriage","yes",411,"경찰 소방 및 교도 관련 종사자",510.8,3,"부산/경남/울산"
"2579","female",1976,40,"middle",1,"marriage","yes",259,"기타 교육 전문가",210,3,"부산/경남/울산"
"2580","male",1998,18,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2581","male",2000,16,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2582","male",1949,67,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2583","female",1952,64,"old",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2584","female",1977,39,"middle",1,"marriage","no",721,"섬유 및 가죽 관련 기능 종사자",NA,3,"부산/경남/울산"
"2585","female",1981,35,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2586","male",1973,43,"middle",1,"marriage","no",899,"기타 제조관련 기계조작원",334.6,3,"부산/경남/울산"
"2587","male",1978,38,"middle",1,"marriage","no",222,"정보시스템 개발 전문가",335,3,"부산/경남/울산"
"2588","male",2008,8,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2589","male",2010,6,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2590","female",2012,4,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2591","male",2013,3,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2592","male",1955,61,"old",4,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2593","male",1979,37,"middle",5,NA,"no",761,"전기 및 전자기기 설치 및 수리원",200,3,"부산/경남/울산"
"2594","male",1961,55,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2595","female",1962,54,"middle",1,"marriage","no",421,"의료 복지 관련 서비스 종사자",56,3,"부산/경남/울산"
"2596","female",1985,31,"middle",1,"marriage","no",314,"비서 및 사무 보조원",159,3,"부산/경남/울산"
"2597","male",1985,31,"middle",1,"marriage","no",853,"자동조립라인 및 산업용 로봇 조작원",261.4,3,"부산/경남/울산"
"2598","male",1965,51,"middle",1,"marriage","no",313,"회계 및 경리 사무원",NA,3,"부산/경남/울산"
"2599","female",1972,44,"middle",1,"marriage","no",NA,NA,NA,3,"부산/경남/울산"
"2600","male",2001,15,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2601","female",2006,10,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2602","male",1975,41,"middle",1,"marriage","no",862,"전기 및 전자 설비 조작원",213,3,"부산/경남/울산"
"2603","female",1945,71,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2604","female",1974,42,"middle",1,"marriage","no",314,"비서 및 사무 보조원",132,3,"부산/경남/울산"
"2605","male",1966,50,"middle",1,"marriage","yes",772,"건설관련 기능 종사자",250,3,"부산/경남/울산"
"2606","female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,3,"부산/경남/울산"
"2607","female",1996,20,"young",5,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2608","male",2000,16,"young",0,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2609","female",1934,82,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2610","male",1938,78,"old",1,"marriage","yes",823,"세탁관련 기계조작원",NA,3,"부산/경남/울산"
"2611","female",1944,72,"old",1,"marriage","yes",999,"기타 서비스관련 단순 종사원",NA,3,"부산/경남/울산"
"2612","female",1934,82,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2613","female",1995,21,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2614","male",1971,45,"middle",1,"marriage","no",772,"건설관련 기능 종사자",270,3,"부산/경남/울산"
"2615","female",1974,42,"middle",1,"marriage","no",246,"보건의료관련 종사자",155,3,"부산/경남/울산"
"2616","female",1999,17,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2617","female",2001,15,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2618","male",2005,11,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2619","female",1936,80,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2620","male",1994,22,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2621","female",1996,20,"young",5,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2622","female",1997,19,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2623","male",2000,16,"young",0,NA,"no",NA,NA,NA,3,"부산/경남/울산"
"2624","male",1945,71,"old",2,NA,"yes",942,"경비원 및 검표원",86,3,"부산/경남/울산"
"2625","female",1926,90,"old",2,NA,"yes",NA,NA,NA,3,"부산/경남/울산"
"2626","male",1950,66,"old",1,"marriage","yes",941,"청소원 및 환경 미화원",103,3,"부산/경남/울산"
"2627","female",1961,55,"middle",1,"marriage","yes",314,"비서 및 사무 보조원",27.3,3,"부산/경남/울산"
